filename,title,author,subtitle,confidence,language,rel_path
IMG_20250923_132824.jpg,Why Community Land Trusts?: The Philosophy Behind an Unconventional Form of Tenure,John Emmeus Davis; Lee Alper; María E. Hernández-Torres,Common Ground Monographs,0.9,en,En Inglés\IMG_20250923_132824.jpg
IMG_20250923_132843.jpg,ON COMMON GROUND,John Emmeus Davis; Line Algoed; María E. Hernández-Torrales,INTERNATIONAL PERSPECTIVES ON THE COMMUNITY LAND TRUST,0.9,en,En Inglés\IMG_20250923_132843.jpg
IMG_20250923_132903.jpg,Westmoreland and Portland Places,Julius K. Hunter,"The History and Architecture of America's Premier Private Streets, 1888-1988",0.9,en,En Inglés\IMG_20250923_132903.jpg
Jesus and The Abolitionists.jpg,JESUS,TERRY J. STOKES,and the Abolitionists,0.9,en,En Inglés\Jesus and The Abolitionists.jpg
Libertarianism Brochure.jpg,Libertarianism Brochure,Elijah M,"a printable handout by the author of ""Individualist Manifesto""",0.9,en,En Inglés\Libertarianism Brochure.jpg
Liberty for Real Dialogues.jpg,Liberty For Real,,Proceedings of the Dialogues,0.7,en,En Inglés\Liberty for Real Dialogues.jpg
Manifiesto of The Free Humans.jpg,MANIFESTO OF THE FREE HUMANS,JOHN VIBES; DERRICK BROZE,,0.9,en,En Inglés\Manifiesto of The Free Humans.jpg
Marx & Satan.jpg,MARX & SATAN,Richard Wurmbrand,,0.9,es,En Inglés\Marx & Satan.jpg
Money Talks.jpg,Money Talks,Peter Kellogg; David Friedman,"a musical that follows the adventures, wisdom and harangues of a hundred dollar bill",0.9,en,En Inglés\Money Talks.jpg
"National-Anarchism, Heroes & Villains.jpg",National-Anarchism,Edited by Troy Southgate,Heroes and Villains,0.8,en,"En Inglés\National-Anarchism, Heroes & Villains.jpg"
Panorama of a State.jpg,PANORAMA OF A STATE,VALENTINO BINET,"Individual Freedom, Essential for other Freedoms",0.9,en,En Inglés\Panorama of a State.jpg
Principles of the Liberalism.jpg,Principles of the Liberalism,,,0.7,en,En Inglés\Principles of the Liberalism.jpg
Screenshot_2025-07-07-18-09-14-829_com.android.chrome.jpg,Crypto-Politics,Linda Monsees,Encryption And Democratic Practices In The Digital Era,0.9,en,En Inglés\Screenshot_2025-07-07-18-09-14-829_com.android.chrome.jpg
Taxation is Theft.jpg,TAXATION IS THEFT,DAN BEHRMAN,HOW POLITICIANS ROB YOU BLIND,0.9,en,En Inglés\Taxation is Theft.jpg
The Essentials of Formal Axiology.jpg,The Essentials of Formal Axiology,Rem B. Edwards,,0.9,en,En Inglés\The Essentials of Formal Axiology.jpg
The Future is Descentralized and Open Source.jpg,The Future IS,Jason A. Jansson,DECENTRALIZED AND OPEN SOURCE,0.9,en,En Inglés\The Future is Descentralized and Open Source.jpg
Valuemetrics.jpg,Valuemetrics*,Frank G. Forrest,THE SCIENCE OF PERSONAL AND PROFESSIONAL ETHICS,0.9,en,En Inglés\Valuemetrics.jpg
Equidad de Libre Mercado - John Tomasi.jpg,Equidad,John Tomasi,de libre mercado,0.9,es,Equidad de Libre Mercado - John Tomasi.jpg
Escuela austriaca de economía para principiantes_.jpg,Escuela Austriaca de Economía,Michael D. Smith,Para Principiantes,0.9,es,Escuela austriaca de economía para principiantes_.jpg
Escuelas Anarquistas.webp,ESCUELAS ANARQUISTAS,,,0.8,es,Escuelas Anarquistas.webp
Explorando los principios del capitalismo_.jpg,EXPLORANDO,,LOS PRINCIPIOS DEL CAPITALISMO,0.7,es,Explorando los principios del capitalismo_.jpg
Extinción_.jpg,Extincion,Jaime Antonio Ponce,Democracia vs Globalización Libertarismo,0.9,es,Extinción_.jpg
F. A. Hayek Dos ensayos sobre economía y moral.jpg,F. A. Hayek,Daniel Mansuy; Matías Petersen,dos ensayos sobre economía y moral,0.9,es,F. A. Hayek Dos ensayos sobre economía y moral.jpg
Ethical Intuitionism and Its Critics - Grant C. Sterling.jpg,ETHICAL INTUITIONISM AND ITS CRITICS,Grant C. Sterling,,0.9,en,Filosofía\Ethical Intuitionism and Its Critics - Grant C. Sterling.jpg
G. E. Moore_s Intuitionism. A highly implausible meta-ethical position - Mark Costello.jpg,G. E. Moore's Intuitionism,Mark Costello,A highly implausible meta-ethical position,0.9,en,Filosofía\G. E. Moore_s Intuitionism. A highly implausible meta-ethical position - Mark Costello.jpg
"Los presupuestos de la falacia naturalista, una revisión crítica.jpg",LOS PRESUPUESTOS DE LA FALACIA NATURALISTA,Esperanza Guisan,Una revisión crítica,0.9,es,"Filosofía\Los presupuestos de la falacia naturalista, una revisión crítica.jpg"
The New Intuitionism.jpg,THE NEW INTUITIONISM,Robert Audi; Carla Bagnoli; Roger Crisp; Peter Graham; Ralph Kennedy; Christopher B. Kulp; Clayton Littlejohn; Hugh J. McCann; Walter Sinnott-Armstrong; Jill Graper Hernandez,,0.9,en,Filosofía\The New Intuitionism.jpg
Breve historia de la libertad - David Schmidtz y Jason Brennan.webp,BREVE HISTORIA DE LA LIBERTAD,DAVID SCHMIDTZ; JASON BRENNAN,,0.9,es,fpp\Breve historia de la libertad - David Schmidtz y Jason Brennan.webp
El mito del Estado emprendedor - Deirdre McCloskey y Alberto Mingardi.png,El mito del estado emprendedor,Deirdre Nansen McCloskey; Alberto Mingardi,,0.9,es,fpp\El mito del Estado emprendedor - Deirdre McCloskey y Alberto Mingardi.png
La filosofía de la violencia - Jorge Millas.png,La filosofía de la violencia,Jorge Millas,,0.9,es,fpp\La filosofía de la violencia - Jorge Millas.png
Por qué esta bien querer ser rico.jpg,POR QUÉ ESTÁ BIEN QUERER,JASON BRENNAN,SER RICO,0.9,es,fpp\Por qué esta bien querer ser rico.jpg
Fronteras abiertas - Bryan Caplan.jpg,Fronteras abiertas,Bryan Caplan; Zach Weinersmith,La ciencia y ética de la inmigración,0.9,es,Fronteras abiertas - Bryan Caplan.jpg
Fundamentos de la banca central y de la libertad bancaria_.jpg,FUNDAMENTOS DE LA BANCA CENTRAL Y DE LA LIBERTAD BANCARIA,VERA C. SMITH,,0.9,es,Fundamentos de la banca central y de la libertad bancaria_.jpg
G1YtaaWXwAAzZHk.jpeg,La religión WOKE,Jean-François Braunstein,Anatomía del movimiento irracional e identitario que está poniendo en jaque a Occidente,0.9,es,G1YtaaWXwAAzZHk.jpeg
Greguerias Liberales.jpg,GREGUERÍAS LIBERALES,CARLOS RODRÍGUEZ BRAUN; RAFA SANUDO,,0.9,es,Greguerias Liberales.jpg
Guerra y construcción del Estado en Colombia_.jpg,Guerra y construcción del Estado en Colombia,CARLOS ALBERTO PATIÑO VILLA,,0.9,es,Guerra y construcción del Estado en Colombia_.jpg
"Humanos, máquinas y política.jpg","HUMANOS, MÁQUINAS Y POLÍTICA",COLECTIVO CARCASA,EL FUTURO DEL LIBERALISMO EN LA ERA DE LA IA,0.9,es,"Humanos, máquinas y política.jpg"
Ideario anarquista.jpg,IDEARIO ANARQUISTA,"PROUDHON, BAKUNIN, KROPOTKIN y otros",,0.9,es,Ideario anarquista.jpg
IMG_20250610_101040.jpg,LOS GEMELOS TUTTLE Y LA CRIATURA DE LA ISLA JEKYLL,CONNOR BOYACK,,0.9,es,IMG_20250610_101040.jpg
IMG_20250610_143507.jpg,O PEQUENO É POSSÍVEL,MIGUEL ANXO BASTOS,Como o tamanho define o futuro de uma nação,0.9,pt,IMG_20250610_143507.jpg
IMG_20250707_220624.jpg,La destrucción creadora,Antología anarquista de octubre,,0.9,es,IMG_20250707_220624.jpg
IMG_20250707_221001.jpg,MANIFIESTO,Yen Ortega,ANARCOCAPITALISTA ÉTICO,0.9,es,IMG_20250707_221001.jpg
IMG_20250707_221025.jpg,Límites del Anarco-Capitalismo,Antonio Jesús Tejada Martínez,Análisis empírico desde una perspectiva psicosocial,0.9,es,IMG_20250707_221025.jpg
IMG_20250707_221112.jpg,LA JUSTICIA SUBVERTIDA,SYDNEY D'AGVILO,La contraética de la mafia institucionalizada,0.9,es,IMG_20250707_221112.jpg
IMG_20250707_221134.jpg,EL RÉGIMEN DEMOCRÁTICO,SYDNEY D'AGVILO,La contraética de la mafia institucionalizada,0.9,es,IMG_20250707_221134.jpg
IMG_20250707_221153.jpg,LA ECONOMÍA DE LA LIBERTAD,SYDNEY D'AGVILO,La ciencia económica en 30 lecciones,0.9,es,IMG_20250707_221153.jpg
IMG_20250708_161621.jpg,FRIEDRICH HAYEK: INDIVIDUALISMO Y ORDEN ESPONTÁNEO,Alí Javier Suárez Brito,,0.9,es,IMG_20250708_161621.jpg
IMG_20250708_162544.jpg,LA PARABOLA DE LAS VACAS,DANIEL MÜLLER,ANARCOCAPITALISMO,0.9,es,IMG_20250708_162544.jpg
IMG_20250922_130401.jpg,Private Neighborhoods,Robert H. Nelson,and the Transformation of Local Government,0.9,en,IMG_20250922_130401.jpg
IMG_20250922_130827.jpg,Market Process & The Decline in Abject Poverty,Jason A. DeMartino,"A Theoretical, Longitudinal, and Quantitative Analysis",0.9,en,IMG_20250922_130827.jpg
IMG_20250922_130901.jpg,LA PLANIFICACIÓN GUBERNAMENTAL,Henry Hazlitt,VERSUS CRECIMIENTO ECONÓMICO,0.9,es,IMG_20250922_130901.jpg
IMG_20250922_131229.jpg,ECOLOGÍA LIBERAL,José Ramón Arévalo Sierra,PARA NO ECOLOGISTAS Y NO LIBERALES,0.9,es,IMG_20250922_131229.jpg
IMG_20250922_131243.jpg,Free City,Ricardo Manuel Rojas,Orden cooperativo y competencia de fuentes jurídicas,0.9,es,IMG_20250922_131243.jpg
IMG_20250922_131313.jpg,SER LIBERTO,Francesc Soler Llagostera,el libro que tu jefe no quiere que leas,0.9,es,IMG_20250922_131313.jpg
IMG_20250922_131331.jpg,BREVE REFUTACIÓN DEL PENSAMIENTO LIBERTARIO,JUAN SEBASTIÁN IZQUIERDO ALMARZA,,0.9,es,IMG_20250922_131331.jpg
IMG_20250922_131405.jpg,DESHACER EL CUERPO,JOSEFINA ARAOS; DANIEL MANSUY; CATALINA SILES; MANFRED SVENSSON,CUATRO OBJECIONES A LA AGENDA TRANS,0.9,es,IMG_20250922_131405.jpg
IMG_20250922_131426.jpg,SOCIALISMO,Manuel Llamas,La ruina de España,0.9,es,IMG_20250922_131426.jpg
IMG_20250922_131512.jpg,Un Homme de conviction,Alexandre Hébert,Un anarchiste individualiste,0.9,fr,IMG_20250922_131512.jpg
IMG_20251002_184507.jpg,Anfisbena,Cristian Moreno,LA EXTRAÑA ALIANZA ENTRE EL ISLAMISMO RADICAL Y LA IZQUIERDA IDENTITARIA,0.9,es,IMG_20251002_184507.jpg
Imperialismo Clases sociales_.jpg,Imperialismo,Joseph A. Schumpeter; Fabián Estapé; Vicente Girbau,Clases sociales,0.9,es,Imperialismo Clases sociales_.jpg
Inmigración y emprendimiento_.jpg,INMIGRACIÓN Y EMPRENDIMIENTO,MAURICIO ROJAS,,0.9,es,Inmigración y emprendimiento_.jpg
 _Capitalismo Espacial - Walter Block.png__300x0.jpg,CAPITALISMO ESPACIAL,PETER LOTHIAN NELSON; WALTER E. BLOCK,"CÓMO LOS HUMANOS COLONIZAREMOS PLANETAS, LUNAS Y ASTEROIDES",1.0,es,INNISFREE\ _Capitalismo Espacial - Walter Block.png__300x0.jpg
 _Caplan - Razones Egoístas para Tener Hijos.jpg,Razones egoístas para tener más hijos,Bryan Caplan,,1.0,es,INNISFREE\ _Caplan - Razones Egoístas para Tener Hijos.jpg
 _Defendiendo lo Indefendible III.webp,DEFENDIENDO LO INDEFENDIBLE III,WALTER BLOCK,,0.9,es,INNISFREE\ _Defendiendo lo Indefendible III.webp
 _Feminimo Individualista.png,Feminismo individualista,Voltairine de Cleyre,,0.9,es,INNISFREE\ _Feminimo Individualista.png
 _Individualismo y Orden Económico - Hayek.jpg,Individualismo y orden económico,Friedrich A. Hayek,,0.9,es,INNISFREE\ _Individualismo y Orden Económico - Hayek.jpg
 _La Colonización de Mar - Patri Friedman.png,La colonización del mar,Joe Quirk; Patri Friedman,"Cómo las naciones flotantes restaurarán el medio ambiente, enriquecerán a los pobres, curarán a los enfermos y liberarán a la humanidad de los políticos",0.9,es,INNISFREE\ _La Colonización de Mar - Patri Friedman.png
 _Libertad Individual (Benjamin Tucker).jpg,Libertad,BENJAMIN TUCKER,Individual,0.9,es,INNISFREE\ _Libertad Individual (Benjamin Tucker).jpg
 _Una Bella Anarquía - Jeffrey Tucker.jpg,UNA BELLA ANARQUÍA,Jeffrey Tucker,CÓMO CREAR TU PROPIA CIVILIZACIÓN EN LA ERA DIGITAL,0.9,es,INNISFREE\ _Una Bella Anarquía - Jeffrey Tucker.jpg
 Manual Libertario - José Luis Montesinos.jpg,MANUAL LIBERTARIO,JOSÉ LUIS MONTESINOS; Juan Pina,Prologado por Juan Pina,0.9,es,INNISFREE\ Manual Libertario - José Luis Montesinos.jpg
Capitalismo para Niños - Karl Hess.jpg,Capitalismo para niños,Karl Hess,Crecer para ser tu propio jefe,0.9,es,INNISFREE\Capitalismo para Niños - Karl Hess.jpg
El Estado contra los Negros.jpg,EL ESTADO CONTRA LOS NEGROS,WALTER E. WILLIAMS,,1.0,es,INNISFREE\El Estado contra los Negros.jpg
el Mito del Socialismo Nórdido.webp,EL MITO DEL SOCIALISMO NÓRDICO,Nima Sanandaji,,0.9,es,INNISFREE\el Mito del Socialismo Nórdido.webp
Escuela Neutral.webp,ESCUELA NEUTRAL,RICARDO MELLA,,0.9,es,INNISFREE\Escuela Neutral.webp
fd8000_84b9c991c6bc4441a394ded6b45bb204~mv2.webp,2069,Óscar López,Libertadura Homomatriarcal,0.9,es,INNISFREE\fd8000_84b9c991c6bc4441a394ded6b45bb204~mv2.webp
Juego de Tronos. Anarquía versus Monarquía.jpg,JUEGO DE TRONOS,,Anarquía versus Monarquía,0.7,es,INNISFREE\Juego de Tronos. Anarquía versus Monarquía.jpg
Las antinomias entre el individuo y la sociedad — Georges Palante.jpg,LAS ANTIMONIAS ENTRE EL INDIVIDUO Y LA SOCIEDAD,GEORGES PALANTE,,0.9,es,INNISFREE\Las antinomias entre el individuo y la sociedad — Georges Palante.jpg
Libertad o Confinamiento.webp,Libertad o confinamiento,Jeffrey Tucker,,0.9,es,INNISFREE\Libertad o Confinamiento.webp
Paraísos fiscales e infiernos tributarios — Martín Litwak.webp,PARAISOS FISCALES E INFERNOS TRIBUTARIOS,MARTIN LITWAK,UNA MIRADA DIFERENTE SOBRE LAS JURISDICCIONES OFFSHORE Y LA COMPETENCIA FISCAL,0.9,es,INNISFREE\Paraísos fiscales e infiernos tributarios — Martín Litwak.webp
Protocolo Malatesta.jpg,PROTOCOLO MALATESTA,PEDRO ARTURO AGUIRRE,,0.9,es,INNISFREE\Protocolo Malatesta.jpg
Instituciones Industriales - Spencer.jpg,INSTITUCIONES INDUSTRIALES,Herbert Spencer,,0.9,es,Instituciones Industriales - Spencer.jpg
Introducción al autoestrangulamiento del Estado del bienestar_.jpg,INTRODUCCIÓN AL AUTOESTRANGULAMIENTO,MARCOS G.D.,DEL ESTADO DE BIENESTAR,0.9,es,Introducción al autoestrangulamiento del Estado del bienestar_.jpg
La amenaza de huelga_.jpg,LA AMENAZA DE HUELGA,William H. Hutt,Consecuencias económicas de la contratación colectiva,0.9,es,La amenaza de huelga_.jpg
La batalla cultural_.jpg,LA BATALLA CULTURAL,CRISTIAN MORENO,LA IMPORTANCIA DE UN LIBERALISMO POPULAR,0.9,es,La batalla cultural_.jpg
La crisis del colectivismo.jpg,LA CRISIS DEL COLECTIVISMO,WILHELM RÖPKE,,0.9,es,La crisis del colectivismo.jpg
La era Milei - Philipp Bagus.jpg,La era Milei,Philipp Bagus,El despertar libertario,0.9,es,La era Milei - Philipp Bagus.jpg
La era Milei Philip Bagus.jpg,La era Milei,Philipp Bagus,El despertar libertario,0.9,es,La era Milei Philip Bagus.jpg
La Escuela Austriaca de Economía para Principiantes_.jpg,Escuela Austriaca de Economía,,Para Principiantes,0.7,es,La Escuela Austriaca de Economía para Principiantes_.jpg
"LA EVOLUCIÓN DE LA ECONOMÍA, Modelos de economía y tipos de mercado.jpg",LA EVOLUCION DE LA ECONOMÍA,SYDNEY D'AGVILO,Modelos de economía y tipos de mercado,0.9,es,"LA EVOLUCIÓN DE LA ECONOMÍA, Modelos de economía y tipos de mercado.jpg"
La innovación em Silicon Valley.jpg,LA INNOVACIÓN EN SILICON VALLEY,Diego F. Wartjes,Liderazgo con libertad,0.9,es,La innovación em Silicon Valley.jpg
La ley de hierro de la oligarquía_.jpg,La ley de hierro de la oligarquía,Dalmacio Negro,,0.9,es,La ley de hierro de la oligarquía_.jpg
"La libertad, liberal o libertaria.jpg","La libertad, ¿liberal o libertaria?",RAYMOND ARON,La Nueva Izquierda y las revueltas del 68,0.9,es,"La libertad, liberal o libertaria.jpg"
La singularidad tecnológica_.jpg,LA SINGULARIDAD TECNOLÓGICA,MURRAY SHANAHAN,,0.9,es,La singularidad tecnológica_.jpg
La sociedad degenerada_.jpg,LA SOCIEDAD DEGENERADA,SYDNEY D'AGVILO,La psicopatología de la mafia institucionalizada,0.9,es,La sociedad degenerada_.jpg
"La Teoria Austriaca del Valor, el Capital y el Interes.jpg","LA TEORÍA AUSTRIACA DEL VALOR, EL CAPITAL Y EL INTERÉS",Klaus H. Hennings,Vida y obra de Eugen von Böhm-Bawerk,0.9,es,"La Teoria Austriaca del Valor, el Capital y el Interes.jpg"
La teoría de la economía_.jpg,LA TEORÍA DE LA ECONOMÍA,Wilhelm Röpke,,0.9,es,La teoría de la economía_.jpg
La Teoría Interválica en Economía.jpg,LA TEORÍA INTERVÁLICA EN ECONOMÍA: EL MERCADO LIBRE,SYDNEY D'AGVILO,Epistemología y Fundamentos de Economía,0.9,es,La Teoría Interválica en Economía.jpg
La Tiranía de los Imbéciles - Carlos Prallong.jpg,LA TIRANÍA DE LOS IMBÉCILES,CARLOS PRALLONG,3.a EDICIÓN,0.9,es,La Tiranía de los Imbéciles - Carlos Prallong.jpg
Liberalismo en debate.jpg,Liberalismo en debate,Sebastián Hernán Erasun,"Política, filosofía y sociedad",0.9,es,Liberalismo en debate.jpg
Liberalismo para la Generación Z.jpg,LIBERALISMO,FRAN MARTOS,"Para la Generación z
Y el p*to coronavirus",0.9,es,Liberalismo para la Generación Z.jpg
Libertarianismo & Anarcocapitalismo_.jpg,LIBERTARIANISMO & ANARCOCAPITALISMO,Camilo Thudium; Vargas dos Santos,Sob a óptica da Ciência,0.9,es,Libertarianismo & Anarcocapitalismo_.jpg
Los Argumentos de la Libertad.webp,LOS ARGUMENTOS DE LA LIBERTAD,Karina Mariani; Cynthia Molinari; Diana Mondino; Alba Pérez Romero; María Zaldivar,,0.9,es,Los Argumentos de la Libertad.webp
Los límites del Keynesianismo.jpg,Los límites del keynesianismo,DOMINIC ALEXANDER,,0.9,es,Los límites del Keynesianismo.jpg
Los Mellizos Tuttle en Español_.jpg,Los Mellizos Tuttle y el Destino del Futuro,Connor Boyack,,0.9,es,Los Mellizos Tuttle en Español_.jpg
Manifiesto del Movimiento Nacional-Anarquista.webp,MANIFIESTO DEL MOVIMIENTO NACIONAL-ANARQUISTA,TROY SOUTHGATE,MÁS ALLÁ DE IZQUIERDAS Y DERECHAS,0.9,es,Manifiesto del Movimiento Nacional-Anarquista.webp
Manual de desobediencia civil_ como la lucha no-violenta será decisiva en este siglo.jpg,MANUAL DE DESOBEDIENCIA CIVIL,Mark Engler; Paul Engler,CÓMO LA LUCHA NOVOLENTA SERÁ DECISIVA EN ESTE SIGLO,0.9,es,Manual de desobediencia civil_ como la lucha no-violenta será decisiva en este siglo.jpg
Adam Smith_ 300 años_.jpg,ESTUDIOS PÚBLICOS,ADAM SMITH,NÚMERO ESPECIAL 2,0.9,es,Más\Adam Smith_ 300 años_.jpg
Adam Smith_ El hombre y sus obras.jpg,ADAM SMITH,E. G. WEST,EL HOMBRE Y SUS OBRAS,0.9,es,Más\Adam Smith_ El hombre y sus obras.jpg
Al rescate de un liberalismo perdido_.jpg,AL RESCATE DE UN LIBERALISMO PERDIDO,IGNACIO DE POSADAS MONTERO,,0.9,es,Más\Al rescate de un liberalismo perdido_.jpg
Análisis Económico del Derecho - Martín Krause.jpg,Análisis Económico del Derecho,Martin Krause; Ricardo M. Rojas; Eduardo Stordeur; Eliana M. Santantangelo; Eleonora Urrutia; Federico G. M. Sosa Valle; Pablo A. Iannello; Augusto C. Lapeyre; Ernesto G. Kilhne,Aplicación a Fallos Judiciales,0.9,es,Más\Análisis Económico del Derecho - Martín Krause.jpg
Apología del Liberalismo Económico.webp,APOLOGÍA DEL LIBERALISMO ECONÓMICO,JUAN FRANCISCO RAMOS MEJÍA (H),EL REMEDIO PARA LA ENFERMEDAD ARGENTINA,0.9,es,Más\Apología del Liberalismo Económico.webp
Bases liberales para un gobierno liberal.jpg,Bases liberales para un programa de gobierno,Alvaro C. Alsogaray,(1989-1995),0.9,es,Más\Bases liberales para un gobierno liberal.jpg
Camino Libertario y Anarquista.jpg,Camino Libertario y Anarquista,Sigfrido Losada Torreiro,,0.9,es,Más\Camino Libertario y Anarquista.jpg
CIUDAD-CENTRAL.jpg,CIUDAD CENTRAL,Carlos Losada,,0.9,es,Más\CIUDAD-CENTRAL.jpg
CONTRA LA IZQUIERDA.jpg,CONTRA LA IZQUIERDA,Carlos López Díaz; Francisco José Contreras,Escritos liberal-conservadores,0.9,es,Más\CONTRA LA IZQUIERDA.jpg
Del Microcosmos al Macrocosmos.jpg,Del Microcosmos al Macrocosmos,Serhat Demir,Búsqueda Colectiva de Libertad y Verdad...,0.9,es,Más\Del Microcosmos al Macrocosmos.jpg
Del Objetivismo de Ayn Rand a los cómics de Steve Ditko.jpg,Del Objetivismo de Ayn Rand a los cómics de Steve Ditko,Héctor Caño,Perspectiva contemporánea del héroe en Estados Unidos,1.0,es,Más\Del Objetivismo de Ayn Rand a los cómics de Steve Ditko.jpg
"Dinero, codicia y Dios.jpg","DINERO, CODICIA Y DIOS",JAY W. RICHARDS,POR QUÉ EL CAPITALISMO ES LA SOLUCIÓN Y NO EL PROBLEMA,0.9,es,"Más\Dinero, codicia y Dios.jpg"
Divagaciones de un Liberal Solitario_.jpg,DIVAGACIONES DE UN LIBERAL SOLITARIO,Enrique Arenz,,0.9,es,Más\Divagaciones de un Liberal Solitario_.jpg
Economía para cualquiera.jpg,ECONOMÍA,SEBASTIÁN IZQUIERDO,para cualquiera,0.9,es,Más\Economía para cualquiera.jpg
Educación ¿Estatal o particular_.jpg,EDUCACIÓN,John Bennett,¿estatal o... particular?,0.9,es,Más\Educación ¿Estatal o particular_.jpg
El Colapso de las Naciones Leopold Kohr.webp,EL COLAPSO DE LAS NACIONES,Leopold Kohr,,0.9,es,Más\El Colapso de las Naciones Leopold Kohr.webp
El futuro_.jpg,EL FUTURO,Nick Montfort,,0.9,es,Más\El futuro_.jpg
El lado oscuro de los libertarios.jpg,EL LADO OSCURO DE LOS LIBERTARIOS,PABLO VILLIZZIANTO,,0.9,es,Más\El lado oscuro de los libertarios.jpg
El Liberalismo Mexicano.jpg,EL LIBERALISMO MEXICANO,JESUS REYES HEROLES,La Integración de las Ideas,0.9,es,Más\El Liberalismo Mexicano.jpg
El liberalismo y los límites de la justicia_.jpg,El liberalismo y los límites de la justicia,Michael Sandel,,0.9,es,Más\El liberalismo y los límites de la justicia_.jpg
El modelo de la casa.jpg,EL MODELO DE LA CASA,Eduardo Ergueta; B. Keith Simerson,un modo más simple de pensar en organizaciones,0.9,es,Más\El modelo de la casa.jpg
El Retorno del Superhombre - Warren Orbaugh.jpg,El retorno del superhombre,WARREN ORBAUGH,,0.9,es,Más\El Retorno del Superhombre - Warren Orbaugh.jpg
El telón de acero.jpg,El telón de acero,Anne Applebaum,La destrucción de Europa del Este 1944-1956,0.9,es,Más\El telón de acero.jpg
El-octubre-chileno.jpg,El octubre chileno,Benjamín Ugalde; Felipe Schwember; Valentina Verbal; otros,Reflexiones sobre democracia y libertad,0.9,es,Más\El-octubre-chileno.jpg
En el acuario de Facebook_.jpg,EN EL ACUARIO DE FACEBOOK,Ippolita,EL RESISTIBLE ASCENSO DEL ANARCO-CAPITALISMO,0.9,es,Más\En el acuario de Facebook_.jpg
Ensayos en homenaje a Martin Krause.jpg,ENSAYOS EN HOMENAJE DE,MARTIN KRAUSE,,0.8,es,Más\Ensayos en homenaje a Martin Krause.jpg
IMG_20250415_154039.jpg,LA NUEVA DERECHA,Antonella Marty,"QUÉ ES, QUÉ DEFIENDE Y POR QUÉ REPRESENTA UNA AMENAZA PARA NUESTRAS DEMOCRACIAS",0.9,es,Más\IMG_20250415_154039.jpg
IMG_20250610_095039.jpg,La gran hambruna en la China de Mao,Frank Dikötter,Historia de la catástrofe más devastadora de China (1958-1962),0.9,es,Más\IMG_20250610_095039.jpg
IMG_20250610_122526.jpg,CHE,NICOLÁS MARQUEZ,El canalla,0.9,es,Más\IMG_20250610_122526.jpg
IMG_20250610_143911.jpg,LA DERECHA LIBERAL SÍ EXISTE,Hernán Larraín Matte,Una crónica personal,0.9,es,Más\IMG_20250610_143911.jpg
IMG_20250610_161254.jpg,Historia del Globalismo,Daniel López,,0.9,es,Más\IMG_20250610_161254.jpg
IMG_20250610_192636.jpg,Nacionalismo Contra Globalismo,Alfredo Jalife-Rahme,,0.9,es,Más\IMG_20250610_192636.jpg
IMG_20250610_192841.jpg,EL FENÓMENO MILEI,Alberto Mayol,LA MOTOSIERRA DEL ANARCOCAPITALISMO,0.9,es,Más\IMG_20250610_192841.jpg
Ingeniería social.jpg,ingeniería,SERGIO MELZNER,social,0.9,es,Más\Ingeniería social.jpg
La Envidia Igualitaria - Gonzalo Fernandez de la Mora.jpg,LA ENVIDIA IGUALITARIA,Gonzalo Fernández de la Mora; Pedro C. González Cuevas,El mal de nuestro tiempo: rechazar mérito y excelencia,0.9,es,Más\La Envidia Igualitaria - Gonzalo Fernandez de la Mora.jpg
La Posverdad Socialista.jpg,LA POSVERDAD SOCIALISTA,Alberto Benegas Lynch (h),,0.9,es,Más\La Posverdad Socialista.jpg
La-igualdad-liberal-3a-1.jpg,LA IGUALDAD LIBERAL,Lucia Santa Cruz,,1.0,es,Más\La-igualdad-liberal-3a-1.jpg
la-libertad-de-emision-del-dinero-bancario.jpg,LA LIBERTAD DE EMISIÓN DEL DINERO BANCARIO,GEORGE A. SELGIN; José Antonio de Aguirre,Crítica del monopolio del Banco Emisor Central,0.9,es,Más\la-libertad-de-emision-del-dinero-bancario.jpg
Las Oligarquías Reinantes - Alberto Benegas Lynch.jpg,Las oligarquías reinantes,Alberto Benegas Lynch (h),Discurso sobre el doble discurso,0.9,es,Más\Las Oligarquías Reinantes - Alberto Benegas Lynch.jpg
Las raíces totalitarias del fracaso argentino.jpg,LAS RAÍCES TOTALITARIAS DEL FRACASO ARGENTINO,Meir Zylberberg,LA TRIBUTACIÓN: SIGNO DE SERVIDUMBRE,0.9,es,Más\Las raíces totalitarias del fracaso argentino.jpg
Lecciones de historia del pensamiento político_.jpg,Lecciones de historia del pensamiento político,Michael Oakeshott; Francisco Javier López Alonso,Volumen I. Desde Grecia hasta la Edad Media,0.9,es,Más\Lecciones de historia del pensamiento político_.jpg
Liberalismo e inteligencia artificial_.jpg,Liberalismo e inteligencia artificial,Jorge Palomino,Un llamado a la libertad en el auge digital,0.9,es,Más\Liberalismo e inteligencia artificial_.jpg
Liberalismo vs. Socialismo_.jpg,LIBERALISMO,FERNANDO BROM,vs SOCIALISMO,0.9,es,Más\Liberalismo vs. Socialismo_.jpg
Liberalismo-para-padres.jpg,Liberalismo para padres,ROBERTO ZAPATA UGSTAD,"Cómo criar hijos que abracen su libertad, con responsabilidad",0.9,es,Más\Liberalismo-para-padres.jpg
Liberté manifeste.jpg,Liberté Manifeste,Stéphane Geyres,,0.9,fr,Más\Liberté manifeste.jpg
